Title,Authors,Publish_Date,Abstract,Article_Link,correspondence_author,keywords,correspondance_author_email
Bacterial community assemblages in classroom floor dust of 50 public schools in a large city: characterization using 16S rRNA sequences and associations with environmental factors,"Ju-Hyeong Park, Angela R. Lemons, Jerry Roseman, Brett J. Green and Jean M. Cox-Ganser",1/20/2021,Characterizing indoor microbial communities using molecular methods provides insight into bacterial assemblages present in environments that can influence occupants’ health. We conducted an environmental asses...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00954-2,Ju-Hyeong Park,"School, Classroom, Bacteria, Microbiome, Moisture damage",gzp8@cdc.gov
Polinton-like viruses are abundant in aquatic ecosystems,Christopher M. Bellas and Ruben Sommaruga,1/12/2021,"Polintons are large mobile genetic elements found in the genomes of eukaryotic organisms that are considered the ancient ancestors of most eukaryotic dsDNA viruses. Originally considered as transposons, they h...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00956-0,Christopher M. Bellas,"Polinton, Virophage, NCLDV, Metagenome, Lakes",Christopher.bellas@bristol.ac.uk
A semi-tryptic peptide centric metaproteomic mining approach and its potential utility in capturing signatures of gut microbial proteolysis,"Zhixiang Yan, Feixiang He, Fei Xiao, Huanhuan He, Dan Li, Li Cong, Lu Lin, Huijin Zhu, Yanyan Wu, Ru Yan, Xiaofeng Li and Hong Shan",1/12/2021,"Proteolysis regulation allows gut microbes to respond rapidly to dynamic intestinal environments by fast degradation of misfolded proteins and activation of regulatory proteins. However, alterations of gut mic...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00967-x,"Zhixiang Yan,Ru Yan,Xiaofeng Li,Hong Shan","Metaproteomics, Gut microbial proteolysis, Inflammatory bowel disease","yanzhx3@mail.sysu.edu.cn, ruyan@um.edu.mo, zdwylxf@163.com, shanhong@mail.sysu.edu.cn"
High-dose saccharin supplementation does not induce gut microbiota changes or glucose intolerance in healthy humans and mice,"Joan Serrano, Kathleen R. Smith, Audra L. Crouch, Vandana Sharma, Fanchao Yi, Veronika Vargova, Traci E. LaMoia, Lydia M. Dupont, Vanida Serna, Fenfen Tang, Laisa Gomes-Dias, Joshua J. Blakeslee, Emmanuel Hatzakis, Scott N. Peterson, Matthew Anderson, Richard E. Pratley…",1/12/2021,"Non-caloric artificial sweeteners (NCAS) are widely used as a substitute for dietary sugars to control body weight or glycemia. Paradoxically, some interventional studies in humans and rodents have shown unfav...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00976-w,George A. Kyriazis,"Artificial sweeteners, Saccharin, Sweet taste receptors, Gut microbiota, Glucose intolerance, Short-chain fatty acids, Fecal metabolomics, T1R2, Dysbiosis",Georgios.Kyriazis@osumc.edu
Group therapy on in utero colonization: seeking common truths and a way forward,Rachel B. Silverstein and Indira U. Mysorekar,1/12/2021,"Within the last 6 years, a research field has emerged that focuses on the characterization of microbial communities in the prenatal intrauterine environment of humans and their putative role in human health. H...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00968-w,Indira U. Mysorekar,"Decidua, Pregnancy, Placenta, Extravillous trophoblasts, Microbiome, Low biomass microbial communities, Ralstonia, Micrococcus, Kitome",imysorekar@wustl.edu
Batch effects account for the main findings of an in utero human intestinal bacterial colonization study,"Marcus C. de Goffau, D. Stephen Charnock-Jones, Gordon C. S. Smith and Julian Parkhill",1/12/2021,"Widespread bioinformatic resource development generates a constantly evolving and abundant landscape of workflows and software. For analysis of the microbiome, workflows typically begin with taxonomic classifi...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00949-z,Julian Parkhill,"Batch effects, Decontam, Colonization in utero, 16S rRNA",jp369@cam.ac.uk
Re-purposing software for functional characterization of the microbiome,"Laura-Jayne Gardiner, Niina Haiminen, Filippo Utro, Laxmi Parida, Ed Seabolt, Ritesh Krishna and James H. Kaufman",1/9/2021,"The inaugural “Microbiome for Mars” virtual workshop took place on July 13, 2020. This event assembled leaders in microbiome research and development to discuss their work and how it may relate to long-duratio...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00971-1,Laura-Jayne Gardiner,"Microbiome, Functional analysis, Sequencing read classification, Taxonomy",Laura-Jayne.Gardiner@ibm.com
Comment on “Conserved phylogenetic distribution and limited antibiotic resistance of class 1 integrons revealed by assessing the bacterial genome and plasmid collection” by A.N. Zhang et al.,"Paul H. Roy, Sally R. Partridge and Ruth M. Hall",1/4/2021,"Targeted amplicon deep sequencing (TADS) has enabled characterization of diverse bacterial communities, yet the application of TADS to communities of parasites has been relatively slow to advance. The greatest...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00950-6,Paul H. Roy,"Integron, Integrase, Cassette, XerC, Transposon",paul.roy@crchudequebec.ulaval.ca
"Microbiome for Mars: surveying microbiome connections to healthcare with implications for long-duration human spaceflight, virtual workshop, July 13, 2020","Michael LaPelusa, Dorit Donoviel, Sergio E. Branzini, Paul E. Carlson Jr, Stephanie Culler, Amrita K. Cheema, Rima Kaddurah-Daouk, Denise Kelly, Isabelle de Cremoux, Rob Knight, Rosa Krajmalnik-Brown, Stephen L. Mayo, Sarkis K. Mazmanian, Emeran A. Mayer, Joseph F. Petrosino and Keith Garrison",1/4/2021,Research around the weedkiller Roundup is among the most contentious of the twenty-first century. Scientists have provided inconclusive evidence that the weedkiller causes cancer and other life-threatening dis...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00951-5,"Michael LaPelusa,Keith Garrison","Microbiome, Spaceflight, Radiation, Multiple sclerosis, Behavior, Gut-brain axis, Metabolome, Sequencing, Autism spectrum disorder, Fecal microbiota transplants, Live biotherapeutic products","michael.lapelusa@vumc.org, Keith.R.Garrison@uth.tmc.edu"
Sensitive universal detection of blood parasites by selective pathogen-DNA enrichment and deep amplicon sequencing,"Briana R. Flaherty, Joel Barratt, Meredith Lane, Eldin Talundzic and Richard S. Bradbury",1/2/2021,An amendment to this paper has been published and can be accessed via the original article.,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00939-1,"Joel Barratt,Richard S. Bradbury","Molecular parasitology, Amplicon sequencing, Blood microbiota, Parasite biodiversity, Parasite detection, Molecular diagnosis","nsk9@cdc.gov, r.bradbury@federation.edu.au"
Genetic selection for growth drives differences in intestinal microbiota composition and parasite disease resistance in gilthead sea bream,"M. Carla Piazzon, Fernando Naya-Català, Erick Perera, Oswaldo Palenzuela, Ariadna Sitjà-Bobadilla and Jaume Pérez-Sánchez",11/23/2020,Taxonomic profiles of vaginal microbial communities can be sorted into a discrete number of categories termed community state types (CSTs). This approach is advantageous because collapsing a hyper-dimensional ...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00922-w,Jaume Pérez-Sánchez,"Sparus aurata, Selective breeding, Growth, Plant-based diets, Genome-diet interactions, Intestinal bacteria, Enteromyxum leei, Domestication, Plasticity",jaime.perez.sanchez@csic.es
Perinatal environment shapes microbiota colonization and infant growth: impact on host response and intestinal function,"M. Selma-Royo, M. Calatayud Arroyo, I. García-Mantrana, A. Parra-Llorca, R. Escuriet, C. Martínez-Costa and M. C. Collado",11/23/2020,"Female genital tract (FGT) inflammation is an important risk factor for HIV acquisition. The FGT microbiome is closely associated with inflammatory profile; however, the relative importance of microbial activi...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00940-8,M. C. Collado,"Microbiota, Environment, Mode of birth, Antibiotics, Epithelial barrier, Immune system, Early programming",mcolam@iata.csic.es
Microbial function and genital inflammation in young South African women at high risk of HIV infection,"Arghavan Alisoltani, Monalisa T. Manhanzva, Matthys Potgieter, Christina Balle, Liam Bell, Elizabeth Ross, Arash Iranzadeh, Michelle du Plessis, Nina Radzey, Zac McDonald, Bridget Calder, Imane Allali, Nicola Mulder, Smritee Dabee, Shaun Barnabas, Hoyam Gamieldien…",11/21/2020,"Lake Baikal is the largest body of liquid freshwater on Earth. Previous studies have described the microbial composition of this habitat, but the viral communities from this ecosystem have not been characteriz...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00932-8,Lindi Masson,"Metaproteomics, Microbiome, Microbial function, Female genital tract, Inflammation, Cytokine",Lindi.Masson@burnet.edu.au
"Antimicrobial use and production system shape the fecal, environmental, and slurry resistomes of pig farms","Oscar Mencía-Ares, Raúl Cabrera-Rubio, José Francisco Cobo-Díaz, Avelino Álvarez-Ordóñez, Manuel Gómez-García, Héctor Puente, Paul D. Cotter, Fiona Crispie, Ana Carvajal, Pedro Rubio and Héctor Argüello",11/19/2020,The capability of gut microbiota in degrading foods and drugs administered orally can result in diversified efficacies and toxicity interpersonally and cause significant impact on human health. Production of a...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00941-7,Ana Carvajal,"Antimicrobial resistance, Feces, Farm environment, Mobilome, One health, Sustainable farming, Swine",ana.carvajal@unileon.es
New viral biogeochemical roles revealed through metagenomic analysis of Lake Baikal,"F. H. Coutinho, P. J. Cabello-Yeves, R. Gonzalez-Serrano, R. Rosselli, M. López-Pérez, T. I. Zemskaya, A. S. Zakharenko, V. G. Ivanov and F. Rodriguez-Valera",11/19/2020,"The microbiota presents a compartmentalized distribution across different gut segments. Hence, the exogenous microbiota from a particular gut segment might only invade its homologous gut location during microb...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00936-4,F. H. Coutinho,"Lake Baikal, Bacteriophages, Metagenomes, Auxiliary metabolic genes, Nitrospira, Reductive TCA cycle, Methylotrophy, S-adenosyl-L-methionine cycle",fhernandes@umh.es
Characterization of TMAO productivity from carnitine challenge facilitates personalized nutrition and microbiome signatures discovery,"Wei-Kai Wu, Suraphan Panyod, Po-Yu Liu, Chieh-Chang Chen, Hsien-Li Kao, Hsiao-Li Chuang, Ying-Hsien Chen, Hsin-Bai Zou, Han-Chun Kuo, Ching-Hua Kuo, Ben-Yang Liao, Tina H. T. Chiu, Ching-Hu Chung, Angela Yu-Chen Lin, Yi-Chia Lee, Sen-Lin Tang…",11/19/2020,"The gut microbiome plays a key role in animal health and metabolism through the intricate functional interconnection between the feed, gut microbes, and the host. Unfortunately, in aquaculture, the links betwe...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00912-y,Ming-Shiang Wu,"Gut microbiome, Trimethylamine N-oxide, Oral carnitine challenge test, Personalized nutrition, Cardiovascular disease, Machine learning, Emergencia timonensis, Ihubacter massiliensis",mingshiang@ntu.edu.tw
Spatial heterogeneity of bacterial colonization across different gut segments following inter-species microbiota transplantation,"Na Li, Bin Zuo, Shimeng Huang, Benhua Zeng, Dandan Han, Tiantian Li, Ting Liu, Zhenhua Wu, Hong Wei, Jiangchao Zhao and Junjun Wang",11/18/2020,"Interest for the study of gut mycobiota in relation with human health and immune homeostasis has increased in the last years. From this perspective, new tools to study the immune/fungal interface are warranted...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00917-7,"Hong Wei,Jiangchao Zhao,Junjun Wang","Gut microbiota, Spatial heterogeneity, Different gut segments, Fecal microbiota transplantation, Whole-intestinal microbiota transplantation","weihong63528@163.com, jzhao77@uark.edu, wangjj@cau.edu.cn"
Association of gut microbiota with metabolism in juvenile Atlantic salmon,"H. Dvergedal, S. R. Sandve, I. L. Angell, G. Klemetsdal and K. Rudi",11/16/2020,"Horizontal gene transfer (HGT) plays a central role in microbial evolution. Our understanding of the mechanisms, frequency, and taxonomic range of HGT in polymicrobial environments is limited, as we currently ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00938-2,S. R. Sandve,"Microbiome, Atlantic salmon, Genetics, Metabolism, Feed efficiency, Carbon turnover",simen.sandve@nmbu.no
Systemic anti-commensal response to fungi analyzed by flow cytometry is related to gut mycobiome ecology,"Alicia Moreno-Sabater, Gaelle Autaa, Delphine Sterlin, Amenie Jerbi, Remy Villette, Johanna B. Holm, Christophe Parizot, Sameh Selim, Yaye Senghor, Pascale Ghillani-Dalbin, Claude Bachmeyer, Christophe Hennequin, Guy Gorochov and Martin Larsen",11/15/2020,"Cooling towers are a major source of large community-associated outbreaks of Legionnaires’ disease, a severe pneumonia. This disease is contracted when inhaling aerosols that are contaminated with bacteria fro...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00924-8,Alicia Moreno-Sabater,"Mycobiota, Flow cytometry, Systemic anti-commensal responses, Humoral immunity, Immunoglobulin G, ITS rRNA gene sequencing",alicia.moreno-sabater@sorbonne-universite.fr
Unravelling the importance of the eukaryotic and bacterial communities and their relationship with Legionella spp. ecology in cooling towers: a complex network,"Kiran Paranjape, Émilie Bédard, Deeksha Shetty, Mengqi Hu, Fiona Chan Pak Choon, Michèle Prévost and Sébastien P. Faucher",11/12/2020,"Genome-centric approaches are widely used to investigate microbial compositions, dynamics, ecology, and interactions within various environmental systems. Hundreds or even thousands of genomes could be retriev...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00926-6,Sébastien P. Faucher,"18S rRNA gene amplicon sequencing, Eukaryotic community, Legionella pneumophila, Brevundimonas sp., Dissolved organic carbon, Network analysis, Whole genome sequencing",sebastien.faucher2@mcgill.ca
A comprehensive investigation of metagenome assembly by linked-read sequencing,"Lu Zhang, Xiaodong Fang, Herui Liao, Zhenmiao Zhang, Xin Zhou, Lijuan Han, Yang Chen, Qinwei Qiu and Shuai Cheng Li",11/11/2020,"The microbiota plays an important role in HIV pathogenesis in humans. Microbiota can impact health through several pathways such as increasing inflammation in the gut, metabolites of bacterial origin, and micr...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00929-3,"Lu Zhang,Shuai Cheng Li","Metagenome assembly, Linked-reads, Short-reads, PacBio CCS long-reads, Parameter space","ericluzhang@hkbu.edu.hk, shuaicli@cityu.edu.hk"
High-quality bacterial genomes of a partial-nitritation/anammox system by an iterative hybrid assembly method,"Lei Liu, Yulin Wang, You Che, Yiqiang Chen, Yu Xia, Ruibang Luo, Suk Hang Cheng, Chunmiao Zheng and Tong Zhang",11/6/2020,"Chronic immune-mediated diseases are rapidly expanding and notoriously difficult to cure. Altered relatively stable intestinal microbiota configurations are associated with several of these diseases, and with ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00937-3,"Chunmiao Zheng,Tong Zhang","Iterative hybrid assembly, High contiguity, One-stage partial-nitritation anammox","zhengcm@sustech.edu.cn, zhangt@hku.hk"
"Shifts in microbial diversity, composition, and functionality in the gut and genital microbiome during a natural SIV infection in vervet monkeys","Anna J. Jasinska, Tien S. Dong, Venu Lagishetty, William Katzka, Jonathan P. Jacobs, Christopher A. Schmitt, Jennifer Danzy Cramer, Dongzhu Ma, Willem G. Coetzer, J. Paul Grobler, Trudy R. Turner, Nelson Freimer, Ivona Pandrea and Cristian Apetrei",11/6/2020,"The discovery of membrane-enclosed, metabolically functional organelles in Bacteria has transformed our understanding of the subcellular complexity of prokaryotic cells. Biomineralization of magnetic nanoparticle...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00928-4,Anna J. Jasinska,"SIV, Microbiome, Proteobacteria, Succinivibrio, Acute infection, Primate",ankajasinska@gmail.com
Alternative stable states in the intestinal ecosystem: proof of concept in a rat model and a perspective of therapeutic implications,"Maarten Van de Guchte, Sebastian D. Burz, Julie Cadiou, Jiangbo Wu, Stanislas Mondot, Hervé M. Blottière and Joël Doré",11/6/2020,The Amazon River is one of the largest in the world and receives huge amounts of terrestrial organic matter (TeOM) from the surrounding rainforest. Despite this TeOM is typically recalcitrant (i.e. resistant t...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00933-7,Maarten Van de Guchte,"Alternative stable states, Intestinal ecosystem, GI tract, Microbiota, Host, Symbiosis, Interaction, Inflammation, Therapy, Cure",maarten.van-de-guchte@inrae.fr
Expanding magnetic organelle biogenesis in the domain Bacteria,"Wei Lin, Wensi Zhang, Greig A. Paterson, Qiyun Zhu, Xiang Zhao, Rob Knight, Dennis A. Bazylinski, Andrew P. Roberts and Yongxin Pan",10/30/2020,The extraordinarily resistant bacterium Deinococcus radiodurans withstands harsh environmental conditions present in outer space. Deinococcus radiodurans was exposed for 1 year outside the International Space Sta...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00931-9,"Wei Lin,Yongxin Pan","Magnetotactic bacteria, Magnetosome, Magnetotaxis, Prokaryotic organelle, Last bacterial common ancestor","weilin0408@gmail.com, yxpan@mail.iggcas.ac.cn"
Uncovering the genomic potential of the Amazon River microbiome to degrade rainforest organic matter,"Célio Dias Santos-Júnior, Hugo Sarmento, Fernando Pellon de Miranda, Flávio Henrique-Silva and Ramiro Logares",10/30/2020,"Recent increases in understanding the ecological and evolutionary roles of microbial communities have underscored the importance of their hosts’ biology. Yet, little is known about gut microbiota dynamics duri...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00930-w,"Flávio Henrique-Silva,Ramiro Logares","Amazon River, Freshwater bacteria, Biodiversity, Metagenomics, Lignin degradation, Cellulose degradation, Priming effect, Gene catalogue","dfhs@ufscar.br, ramiro.logares@icm.csic.es"
Molecular repertoire of Deinococcus radiodurans after 1 year of exposure outside the International Space Station within the Tanpopo mission,"Emanuel Ott, Yuko Kawaguchi, Denise Kölbl, Elke Rabbow, Petra Rettberg, Maximilian Mora, Christine Moissl-Eichinger, Wolfram Weckwerth, Akihiko Yamagishi and Tetyana Milojevic",10/29/2020,An amendment to this paper has been published and can be accessed via the original article.,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00927-5,Tetyana Milojevic,"Deinococcus radiodurans, Low earth orbit, Proteomics, Transcriptomics, Metabolomics, Molecular stress response",tetyana.milojevic@univie.ac.at
Early-life gut dysbiosis linked to juvenile mortality in ostriches,"Elin Videvall, Se Jin Song, Hanna M. Bensch, Maria Strandh, Anel Engelbrecht, Naomi Serfontein, Olof Hellgren, Adriaan Olivier, Schalk Cloete, Rob Knight and Charlie K. Cornwallis",10/12/2020,"Imbalances in the gut microbial community (dysbiosis) of vertebrates have been associated with several gastrointestinal and autoimmune diseases. However, it is unclear which taxa are associated with gut dysbio...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00925-7,Elin Videvall,"Dysbacteriosis, Gut microbiota, Microbial diversity, Inflammation, Gastrointestinal tract, Disease",elin.videvall@gmail.com
"Ontogeny, species identity, and environment dominate microbiome dynamics in wild populations of kissing bugs (Triatominae)","Joel J. Brown, Sonia M. Rodríguez-Ruano, Anbu Poosakkannu, Giampiero Batani, Justin O. Schmidt, Walter Roachell, Jan Zima Jr, Václav Hypša and Eva Nováková",10/11/2020,"Kissing bugs (Triatominae) are blood-feeding insects best known as the vectors of Trypanosoma cruzi, the causative agent of Chagas’ disease. Considering the high epidemiological relevance of these vectors, their ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00921-x,Eva Nováková,"Bacteria, Blood, Hematophagous, Insect, Microbiome, Ontogeny, Pathogen, Triatominae, Vector",novake01@prf.jcu.cz
The interplay between host genetics and the gut microbiome reveals common and distinct microbiome features for complex human diseases,"Fengzhe Xu, Yuanqing Fu, Ting-yu Sun, Zengliang Jiang, Zelei Miao, Menglei Shuai, Wanglong Gou, Chu-wen Ling, Jian Yang, Jun Wang, Yu-ming Chen and Ju-Sheng Zheng",10/8/2020,"Interest in the interplay between host genetics and the gut microbiome in complex human diseases is increasing, with prior evidence mainly being derived from animal models. In addition, the shared and distinct...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00923-9,"Jun Wang,Yu-ming Chen,Ju-Sheng Zheng","Gut microbiome, Host genetics, Bidirectional Mendelian randomization analyses, Disease-microbiome features","junwang@im.ac.cn, chenyum@mail.sysu.edu.cn, zhengjusheng@westlake.edu.cn"
Viral ecogenomics across the Porifera,"Cecília Pascelli, Patrick W. Laffy, Emmanuelle Botté, Marija Kupresanin, Thomas Rattei, Miguel Lurgi, Timothy Ravasi and Nicole S. Webster",10/2/2020,Viruses directly affect the most important biological processes in the ocean via their regulation of prokaryotic and eukaryotic populations. Marine sponges form stable symbiotic partnerships with a wide divers...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00919-5,Nicole S. Webster,"Viromics, Viral ecology, Functional diversity, AMGs, Coral reef sponges",n.webster@aims.gov.au
β-glucan attenuates cognitive impairment via the gut-brain axis in diet-induced obese mice,"Hongli Shi, Yinghua Yu, Danhong Lin, Peng Zheng, Peng Zhang, Minmin Hu, Qiao Wang, Wei Pan, Xiaoying Yang, Tao Hu, Qianqian Li, Renxian Tang, Feng Zhou, Kuiyang Zheng and Xu-Feng Huang",10/2/2020,"“Western” style dietary patterns are characterized by a high proportion of highly processed foods rich in fat and low in fiber. This diet pattern is associated with a myriad of metabolic dysfunctions, includin...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00920-y,"Yinghua Yu,Kuiyang Zheng,Xu-Feng Huang","Cognition, Gut microbiota, Gut-brain axis, β-glucan, Obesity","yinghua@uow.edu.au, zky02@163.com, xhuang@uow.edu.au"
Trophic interactions as determinants of the arbuscular mycorrhizal fungal community with cascading plant-promoting consequences,"Yuji Jiang, Lu Luan, Kaijie Hu, Manqiang Liu, Ziyun Chen, Stefan Geisen, Xiaoyun Chen, Huixin Li, Qinsong Xu, Michael Bonkowski and Bo Sun",10/2/2020,"The soil mycobiome is composed of a complex and diverse fungal community, which includes functionally diverse species ranging from plant pathogens to mutualists. Among the latter are arbuscular mycorrhizal fun...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00918-6,"Yuji Jiang,Stefan Geisen,Bo Sun","Arbuscular mycorrhizal fungi, Protists, Nematodes, AMF colonization, Phosphorus transporter genes, Plant productivity","yjjiang@issas.ac.cn, stefan.geisen@wur.nl, bsun@issas.ac.cn"
Investigating host-microbiome interactions by droplet based microfluidics,"Alexandra S. Tauzin, Mariana Rangel Pereira, Liisa D. Van Vliet, Pierre-Yves Colin, Elisabeth Laville, Jeremy Esque, Sandrine Laguerre, Bernard Henrissat, Nicolas Terrapon, Vincent Lombard, Marion Leclerc, Joël Doré, Florian Hollfelder and Gabrielle Potocki-Veronese",10/1/2020,"Despite the importance of the mucosal interface between microbiota and the host in gut homeostasis, little is known about the mechanisms of bacterial gut colonization, involving foraging for glycans produced b...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00911-z,"Florian Hollfelder,Gabrielle Potocki-Veronese","Functional metagenomics, Droplet microfluidics, Human gut microbiota, Human glycans, Beta-N-acetyl-galactosaminidase","fh111@cam.ac.uk, veronese@insa-toulouse.fr"
Soil origin and plant genotype structure distinct microbiome compartments in the model legume Medicago truncatula,"Shawn P. Brown, Michael A. Grillo, Justin C. Podowski and Katy D. Heath",9/28/2020,"Understanding the genetic and environmental factors that structure plant microbiomes is necessary for leveraging these interactions to address critical needs in agriculture, conservation, and sustainability. L...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00915-9,Katy D. Heath,"Common garden, Evolution, Genetic variation, Mutualism, Nodule microbiome",kheath@illinois.edu
Disruption of ruminal homeostasis by malnutrition involved in systemic ruminal microbiota-host interactions in a pregnant sheep model,"Yanfeng Xue, Limei Lin, Fan Hu, Weiyun Zhu and Shengyong Mao",9/24/2020,"Undernutrition is a prevalent and spontaneous condition in animal production which always affects microbiota-host interaction in gastrointestinal tract. However, how undernutrition affects crosstalk homeostasi...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00916-8,Shengyong Mao,"Ruminal homeostasis, Ruminal microbiota and epithelium, Energy metabolism, Signal transduction, Severe feed restriction",maoshengyong@njau.edu.cn
Bio-organic fertilizers stimulate indigenous soil Pseudomonas populations to enhance plant disease suppression,"Chengyuan Tao, Rong Li, Wu Xiong, Zongzhuan Shen, Shanshan Liu, Beibei Wang, Yunze Ruan, Stefan Geisen, Qirong Shen and George A. Kowalchuk",9/22/2020,Plant diseases caused by fungal pathogen result in a substantial economic impact on the global food and fruit industry. Application of organic fertilizers supplemented with biocontrol microorganisms (i.e. bioorga...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00892-z,Qirong Shen,"Bio-organic fertilizer, Fusarium wilt, Disease suppression, Resident microbiota, Pseudomonas spp., Interspecific synergy",shenqirong@njau.edu.cn
Gut microbiota steroid sexual dimorphism and its impact on gonadal steroids: influences of obesity and menopausal status,"Jordi Mayneris-Perxachs, María Arnoriaga-Rodríguez, Diego Luque-Córdoba, Feliciano Priego-Capote, Vicente Pérez-Brocal, Andrés Moya, Aurelijus Burokas, Rafael Maldonado and José-Manuel Fernández-Real",9/20/2020,Gonadal steroid hormones have been suggested as the underlying mechanism responsible for the sexual dimorphism observed in metabolic diseases. Animal studies have also evidenced a causal role of the gut microb...,https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00913-x,José-Manuel Fernández-Real,"Sex, Gender, Gonadal steroids, Testosterone, Progesterone, Microbiome, Sexual dimorphism",jmfreal@idibgi.org
Estimate of the sequenced proportion of the global prokaryotic genome,"Zheng Zhang, Jianing Wang, Jinlan Wang, Jingjing Wang and Yuezhong Li",9/16/2020,"Sequencing prokaryotic genomes has revolutionized our understanding of the many roles played by microorganisms. However, the cell and taxon proportions of genome-sequenced bacteria or archaea on earth remain u...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00903-z,"Zheng Zhang,Yuezhong Li","Microbiome, Genome sequencing, Prokaryotic biome, Earth microbiome project, Predominant taxa","zhangzheng@sdu.edu.cn, lilab@sdu.edu.cn"
Hill-based dissimilarity indices and null models for analysis of microbial community assembly,"Oskar Modin, Raquel Liébana, Soroush Saheb-Alam, Britt-Marie Wilén, Carolina Suarez, Malte Hermansson and Frank Persson",9/11/2020,"High-throughput amplicon sequencing of marker genes, such as the 16S rRNA gene in Bacteria and Archaea, provides a wealth of information about the composition of microbial communities. To quantify differences ...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00909-7,Oskar Modin,"Aerobic granular sludge, Amplicon sequencing, Beta diversity, Bioinformatics, Microbial ecology, Microbial fuel cell",oskar.modin@chalmers.se
Identification of multidimensional Boolean patterns in microbial communities,"George Golovko, Khanipov Kamil, Levent Albayrak, Anna M. Nia, Renato Salomon Arroyo Duarte, Sergei Chumakov and Yuriy Fofanov",9/11/2020,"Identification of complex multidimensional interaction patterns within microbial communities is the key to understand, modulate, and design beneficial microbiomes. Every community has members that fulfill an e...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00853-6,George Golovko,"Microbiome, Multidimensional Boolean patterns, Microbial communities, Co-exclusion, Co-presence, Pattern-specific score",gegolovk@utmb.edu
Multi-omics analysis reveals the influence of genetic and environmental risk factors on developing gut microbiota in infants at risk of celiac disease,"Maureen M. Leonard, Hiren Karathia, Meritxell Pujolassos, Jacopo Troisi, Francesco Valitutti, Poorani Subramanian, Stephanie Camhi, Victoria Kenyon, Angelo Colucci, Gloria Serena, Salvatore Cucchiara, Monica Montuori, Basilio Malamisura, Ruggiero Francavilla, Luca Elli, Brian Fanelli…",9/11/2020,"Celiac disease (CD) is an autoimmune digestive disorder that occurs in genetically susceptible individuals in response to ingesting gluten, a protein found in wheat, rye, and barley. Research shows that geneti...",https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-020-00906-w,"Ali R. Zomorrodi,Alessio Fasano","Microbiota, Celiac disease, Multi-omics analysis, gut microbiome","azomorrodi@mgh.harvard.edu, afasano@mgh.harvard.edu"
